ID,Question,Answer
test_0000,Between Tourism and Travel Service Management and International Studies which USSH program had the higher 2024 admission score?,Tourism and Travel Service Management,
test_0012,Which ULIS programs had an estimated tuition fee of 31 million VND per year in 2026?,"Russian Language, Arabic Language, Transnational Culture and Communication, and Teaching Vietnamese as a Foreign Language",
test_0013,Which USSH majors had a tuition fee of 25 million VND per year in 2023-2024?,Standard programs that had already been quality-accredited,
test_0017,What subjects are included in the D01 combination used by ULIS?,"Mathematics, Literature, English",
test_0020,Which USSH majors accepted the traditional C00 combination in 2025?,"17 majors, including Journalism, Social Work, Oriental Studies, Korean Studies, Management Science, Public Relations, Tourism and Travel Service Management, Hotel Management, Office Management, International Studies, Psychology, Information - Library, Cultural Studies, Vietnamese Studies, Sociology, Information Management, and Cinema & Popular Art.",
test_0022,Which national education initiative is ULIS involved in?,The National Foreign Language Project (Đề án Ngoại ngữ Quốc gia),
test_0029,Which ULIS program commonly used the D78 admission combination?,Foreign Language Teacher Education and Linguistics programs,
test_0031,Which educational model at VNU allows students to study both a major and a minor?,Double-degree program ,
test_0038,Which language faculties were established in 1964 at ULIS?,"Russian, Chinese, English, and French",
test_0040,Which ULIS program related to Vietnamese studies had a tuition fee of 31 million VND per year in 2026?,Teaching Vietnamese as a Foreign Language,
test_0042,Which UET admission combination includes Mathematics; Physics; English?,A01,
test_0043,What does the design of the VNU logo represent?,"An open book and a stylized pen/flame representing education, knowledge, and intellectual growth"
test_0048,What graduation-related process is regulated in the VNU undergraduate training regulations?,Graduation recognition,
test_0049,Which ULIS language programs had an estimated tuition fee of 42 million VND per year in 2026?,"English, French, Chinese, German, Japanese, and Korean",
test_0050,Which UET admission method uses competency assessment scores?,Admission based on the VNU Competency Assessment (HSA) results,
test_0054,What subjects are included in the C04 admission combination at USSH?,"Mathematics, Literature, Geography",
test_0057,Which USSH majors had a tuition fee of 35 million VND per year in 2023-2024?,High-quality training programs,
test_0059,What was the tuition fee per credit for economic-technical norm programs at UET in 2024-2025?,1.076.000 VND,
test_0060,What was the yearly tuition fee for the Computer Networks and Data Communications program at UET in 2024-2025?,40.000.000 VND,
test_0066,Which two languages were first taught at ULIS?,"Russian and Chinese",
test_0076,Which UET majors were included in the higher tuition group in 2024-2025?,"Information Technology, Computer Engineering, Mechatronics Engineering, Computer Science, Electronics & Telecommunications, Information Systems, Engineering Physics, Engineering Mechanics, Construction Engineering Technology, Aerospace Technology, Energy Engineering, Computer Networks & Data Communications, and Robotics",
test_0078,Which UET majors belonged to the engineering and technology admission group using A00 and A01 combinations?,"Most technology and engineering majors (such as Information Technology, Computer Science, Computer Engineering, Mechatronics, Aerospace, etc.)",
test_0086,Where can the Hoa Lac campus be found?,Thach That District, Hanoi,
test_0093,What subjects are included in the X06 admission combination used by UET?,"Mathematics, Physics, Informatics",
test_0097,Which sectors have employed graduates trained by ULIS?,"Foreign affairs, defense, security, economics, and education sectors",
test_0098,How many extra credits are required for international-standard programs compared with standard programs at VNU?,Usually around 10 to 15 extra credits,
test_0099,What is USSH called in English?,University of Social Sciences and Humanities,
test_0102,Which two admission combinations were newly added at USSH in 2025?,C03 and C04,
test_0105,What is the core mission of VNU?,"To contribute to Vietnam's national development through the pursuit of excellence in education, research, and high-quality services"
test_0111,Which UET undergraduate program related to telecommunications belonged to the 40-million-VND tuition group in 2024-2025?,Electronics and Telecommunications Engineering,
