id,question,annotator_answer,notes
test_0000,Between Tourism and Travel Service Management and International Studies which USSH program had the higher 2024 admission score?,International Studies,
test_0012,Which ULIS programs had an estimated tuition fee of 31 million VND per year in 2026?,Russian Language; Arabic Language; Vietnamese Language and Vietnamese Culture,
test_0013,Which USSH majors had a tuition fee of 25 million VND per year in 2023-2024?,Management Science; Oriental Studies,
test_0017,What subjects are included in the D01 combination used by ULIS?,Mathematics; Literature; English,
test_0020,Which USSH majors accepted the traditional C00 combination in 2025?,Journalism; Public Relations; Psychology; International Studies; Sociology; Hotel Management,
test_0022,Which national education initiative is ULIS involved in?,The National Foreign Language Project,
test_0029,Which ULIS program commonly used the D78 admission combination?,Korean Language,
test_0031,Which educational model at VNU allows students to study both a major and a minor?,Major-minor training model,
test_0038,Which language faculties were established in 1964 at ULIS?,Russian; Chinese; English; French,
test_0040,Which ULIS program related to Vietnamese studies had a tuition fee of 31 million VND per year in 2026?,Vietnamese Language and Vietnamese Culture,
test_0042,Which UET admission combination includes Mathematics; Physics; English?,A01,
test_0043,What does the design of the VNU logo represent?,An open book with green lines,
test_0048,What graduation-related process is regulated in the VNU undergraduate training regulations?,Graduation recognition,
test_0049,Which ULIS language programs had an estimated tuition fee of 42 million VND per year in 2026?,English Language; French Language; Chinese Language; German Language; Japanese Language; Korean Language,
test_0050,Which UET admission method uses competency assessment scores?,HSA competency assessment,
test_0054,What subjects are included in the C04 admission combination at USSH?,Mathematics; Literature; Geography,
test_0057,Which USSH majors had a tuition fee of 35 million VND per year in 2023-2024?,Journalism; Hotel Management; Public Relations,
test_0059,What was the tuition fee per credit for economic-technical norm programs at UET in 2024-2025?,1076000 VND per credit,
test_0060,What was the yearly tuition fee for the Computer Networks and Data Communications program at UET in 2024-2025?,40 million VND per academic year in 2024-2025,
test_0066,Which two languages were first taught at ULIS?,Russian; Chinese,
test_0076,Which UET majors were included in the higher tuition group in 2024-2025?,Computer Science; Information Systems; Computer Engineering; Computer Networks and Data Communications; Electronics and Telecommunications Engineering Technology,
test_0078,Which UET majors belonged to the engineering and technology admission group using A00 and A01 combinations?,Information Technology; Computer Science; Computer Engineering,
test_0086,Where can the Hoa Lac campus be found?,Thach That Hanoi,
test_0093,What subjects are included in the X06 admission combination used by UET?,Mathematics; Physics; Informatics,
test_0097,Which sectors have employed graduates trained by ULIS?,Education diplomacy economics politics society and national defense,
test_0098,How many extra credits are required for international-standard programs compared with standard programs at VNU?,At least 15 additional credits,
test_0099,What is USSH called in English?,VNU University of Social Sciences and Humanities,
test_0102,Which two admission combinations were newly added at USSH in 2025?,C03; C04,
test_0105,What is the core mission of VNU?,Training high-quality human resources & scientific research and technology transfer,
test_0111,Which UET undergraduate program related to telecommunications belonged to the 40-million-VND tuition group in 2024-2025?,Electronics and Telecommunications Engineering Technology,
