source_url,question,answer
https://vnu.edu.vn/gioi-thieu-chung-ve-dai-hoc-quoc-gia-ha-noi-post1.html,What is the full English name of VNU?,Vietnam National University of Hanoi
https://vnu.edu.vn/gioi-thieu-chung-ve-dai-hoc-quoc-gia-ha-noi-post1.html,In what year was Vietnam National University Hanoi established?,1993
https://vnu.edu.vn/gioi-thieu-chung-ve-dai-hoc-quoc-gia-ha-noi-post1.html,Which city is Vietnam National University Hanoi located in?,Hanoi
https://vnu.edu.vn/gioi-thieu-chung-ve-dai-hoc-quoc-gia-ha-noi-post1.html,What role does VNU play in the Vietnamese higher education system?,A leading role in Vietnamese higher education
https://vnu.edu.vn/gioi-thieu-chung-ve-dai-hoc-quoc-gia-ha-noi-post1.html,How many member units did VNU have in 2023?,29
https://vnu.edu.vn/gioi-thieu-chung-ve-dai-hoc-quoc-gia-ha-noi-post1.html,How many training programs did VNU offer in 2023?,438
https://vnu.edu.vn/gioi-thieu-chung-ve-dai-hoc-quoc-gia-ha-noi-post1.html,How many laboratories did VNU have in 2023?,208
https://vnu.edu.vn/gioi-thieu-chung-ve-dai-hoc-quoc-gia-ha-noi-post1.html,What was the official website of VNU?,https://vnu.edu.vn
https://vnu.edu.vn/gioi-thieu-chung-ve-dai-hoc-quoc-gia-ha-noi-post1.html,Which highest state honor had VNU received?,Gold Star Order
https://vnu.edu.vn/gioi-thieu-chung-ve-dai-hoc-quoc-gia-ha-noi-post1.html,What year appeared on the VNU logo?,1906
https://vnu.edu.vn/gioi-thieu-chung-ve-dai-hoc-quoc-gia-ha-noi-post1.html,What did the VNU logo symbolize?,An open book with green lines
https://vnu.edu.vn/gioi-thieu-chung-ve-dai-hoc-quoc-gia-ha-noi-post1.html,What was the name of the new VNU urban campus project?,Hoa Lac campus
https://vnu.edu.vn/gioi-thieu-chung-ve-dai-hoc-quoc-gia-ha-noi-post1.html,Where was the Hoa Lac campus located?,Thach That; Hanoi
https://vnu.edu.vn/gioi-thieu-chung-ve-dai-hoc-quoc-gia-ha-noi-post1.html,How large was the Hoa Lac campus project?,1200 hectares
https://vnu.edu.vn/gioi-thieu-chung-ve-dai-hoc-quoc-gia-ha-noi-post1.html,How many students studied at Hoa Lac campus in 2023?,About 6000 students
https://vnu.edu.vn/gioi-thieu-chung-ve-dai-hoc-quoc-gia-ha-noi-post1.html,What was the main purpose of VNU?,Training high-quality human resources & scientific research and technology transfer
https://vnu.edu.vn/gioi-thieu-chung-ve-dai-hoc-quoc-gia-ha-noi-post1.html,What QS World University Ranking range did VNU achieve in 2026?,761-770
https://uet.vnu.edu.vn/gioi-thieu/,How many Sustainable Development Goals does the UET strategy refer to?,17 SDGs
https://uet.vnu.edu.vn/gioi-thieu/,What is the official email address of UET?,uet@vnu.edu.vn
https://uet.vnu.edu.vn/gioi-thieu/,What is the phone number of UET?,024.37547.461
https://uet.vnu.edu.vn/gioi-thieu/,What is the main address of VNU?,144 Xuan Thuy; Cau Giay; Hanoi
https://ulis.vnu.edu.vn/gioi-thieu/,What is the full English name of ULIS?,VNU University of Languages and International Studies
https://ulis.vnu.edu.vn/gioi-thieu/,What does ULIS stand for?,University of Languages and International Studies
https://ulis.vnu.edu.vn/gioi-thieu/,What is the mission of ULIS?,Training high-quality human resources; conducting scientific research; innovation; and knowledge transfer in foreign language education; linguistics; international studies; and related social sciences and humanities
https://ulis.vnu.edu.vn/gioi-thieu/,What fields does ULIS specialize in?,Foreign language education; linguistics; international studies; and related social sciences and humanities
https://ulis.vnu.edu.vn/gioi-thieu/,What is one important goal of ULIS?,Contributing to national development and international integration
https://ulis.vnu.edu.vn/gioi-thieu/,What was the predecessor of ULIS?,Foreign Language School
https://ulis.vnu.edu.vn/gioi-thieu/,In what year was the predecessor of ULIS established?,1955
https://ulis.vnu.edu.vn/gioi-thieu/,What were the first two language majors taught at ULIS?,Russian; Chinese
https://ulis.vnu.edu.vn/gioi-thieu/,In what year was the Foreign Language School merged into Hanoi University of Education?,1958
https://ulis.vnu.edu.vn/gioi-thieu/,What did the Foreign Language School become after the merger in 1958?,Faculty of Foreign Languages of Hanoi University of Education
https://ulis.vnu.edu.vn/gioi-thieu/,How many language faculties were established in 1964?,Four faculties
https://ulis.vnu.edu.vn/gioi-thieu/,What language faculties were established in 1964?,Russian; Chinese; English; French
https://ulis.vnu.edu.vn/gioi-thieu/,Who signed the decision establishing Hanoi University of Foreign Language Teachers?,Prime Minister Pham Van Dong
https://ulis.vnu.edu.vn/gioi-thieu/,In what year was Hanoi University of Foreign Language Teachers established?,1967
https://ulis.vnu.edu.vn/gioi-thieu/,What major national need did ULIS help address in the past?,Training foreign language teachers and officials
https://ulis.vnu.edu.vn/gioi-thieu/,In what year did ULIS become a member university of VNU?,1993
https://ulis.vnu.edu.vn/gioi-thieu/,What was the former name of ULIS before joining VNU?,Hanoi University of Foreign Language Teachers
https://ulis.vnu.edu.vn/gioi-thieu/,What did the university change its name to in 1993?,University of Languages and International Studies - VNU
https://ulis.vnu.edu.vn/gioi-thieu/,How long has ULIS developed?,More than 70 years
https://ulis.vnu.edu.vn/gioi-thieu/,What position does ULIS hold in Vietnam?,A leading university in foreign language education
https://ulis.vnu.edu.vn/gioi-thieu/,What type of training formats has ULIS provided?,Full-time; part-time; long-term; short-term training
https://ulis.vnu.edu.vn/gioi-thieu/,What sectors has ULIS provided foreign language personnel for?,Education; diplomacy; economics; politics; society; national defense
https://ulis.vnu.edu.vn/gioi-thieu/,Which armed forces sectors has ULIS provided foreign language personnel for?,Military sector; police sector
https://ulis.vnu.edu.vn/gioi-thieu/,What languages has ULIS trained students in?,English; Russian; French; Chinese; German; Japanese; Korean; Arabic; Thai
https://ulis.vnu.edu.vn/gioi-thieu/,Does ULIS conduct scientific research?,Yes
https://ulis.vnu.edu.vn/gioi-thieu/,What kinds of research projects has ULIS completed?,National-level; ministerial-level; VNU-level; university-level projects
https://ulis.vnu.edu.vn/gioi-thieu/,Does ULIS participate in writing foreign language textbooks?,Yes
https://ulis.vnu.edu.vn/gioi-thieu/,What nationwide educational project does ULIS participate in?,The National Foreign Language Project
https://ussh.vnu.edu.vn/vi/news/tin-tuc-ve-dhqghn/lich-su-hinh-thanh-va-phat-trien-dai-hoc-quoc-gia-ha-noi-22318.html,In what year was Indochina University established?,1906
https://ussh.vnu.edu.vn/vi/news/tin-tuc-ve-dhqghn/lich-su-hinh-thanh-va-phat-trien-dai-hoc-quoc-gia-ha-noi-22318.html,What institution was established in 1945 from the foundation of Indochina University?,Vietnam National University
https://ussh.vnu.edu.vn/vi/news/tin-tuc-ve-dhqghn/lich-su-hinh-thanh-va-phat-trien-dai-hoc-quoc-gia-ha-noi-22318.html,When was the first course of Vietnam National University inaugurated?,15 November 1945
https://ussh.vnu.edu.vn/vi/news/tin-tuc-ve-dhqghn/lich-su-hinh-thanh-va-phat-trien-dai-hoc-quoc-gia-ha-noi-22318.html,Who presided over the first inauguration ceremony of Vietnam National University?,President Ho Chi Minh
